date_found,platform_discussed,theme,source,source_url,post_date,verbatim_quote,sentiment,notes
2026-05-11,Fresha,complexity,Capterra,https://www.capterra.com/p/142138/Shedul-com/reviews/,,"""Was designed for hairdressers rather than massage therapists"" ... ""Couldn't use session packs either""",negative,"Same salon-first complaint pattern as Vagaro. Session packs (pre-paid multi-visit packages) are a massage-specific need missing from Fresha"
2026-05-11,Fresha,advice-seeking,Capterra,https://www.capterra.com/p/142138/Shedul-com/reviews/,2026-04-08,"""Fresha is easy to use as a customer, including booking, modifying appointments, getting reminder notifications, and providing customer support""",positive,"Hairdresser-side positive review — captures the customer-facing experience Fresha is good at, which is where it pulls solos in before the marketplace fee surprise hits"
2026-05-11,Fresha,complexity,Capterra,https://www.capterra.com/p/142138/Shedul-com/reviews/,,"""Fresha a bit complicated to set up, as well as we found clients were not fully understanding how to book and didnt end up submitting appointment request""",negative,"Booking-flow friction breaking conversion — pattern echoes MassageBook's Nov 2025 account-required complaint"
2026-05-11,Jane,complexity,Capterra,https://www.capterra.com/p/178984/Jane-App/reviews/?page=8,,"""really loved it except for the lack of simplicity in charting templates"" ... ""as someone that is more easily overwhelmed, it just wasn't a right fit for me in that regard""",mixed,"Solo who churned despite liking the product — Jane's charting setup overhead is too high for non-clinical solos. Directly validates the wedge Roomwell can hit: solo-LMT charting that's good-out-of-box"
2026-05-11,Jane,complexity,Capterra,https://www.capterra.com/p/178984/Jane-App/reviews/?page=8,,"""the biggest downside to working with Jane is the setting up of charting options""",mixed,"Multiple Jane reviewers cite the same charting-setup friction. Onboarding tax is consistent across reviews"
2026-05-11,Jane,advice-seeking,Capterra,https://www.capterra.com/p/178984/Jane-App/reviews/,,"""Jane App fulfilled all the requirements for me to run a remote clinic as a solo practitioner. Excellent service, a complete suite of practical business and administration tools.""",positive,"5/5 from an RMT — solo who finds Jane worth the price. Captures the 'I'm running a clinical-grade solo practice' segment that is the upmarket boundary of Roomwell's target"
2026-05-11,Jane,switching,Capterra,https://www.capterra.com/p/178984/Jane-App/reviews/,,"""as my practice grew, that informal system became increasingly unsustainable. Jane offered everything I needed in one dedicated platform""",positive,"Solo switched FROM Google Calendar + paper TO Jane. Note the destination — first-time-software solos still go upmarket to Jane, not laterally to MassageBook or ClinicSense. Worth tracking"
2026-05-11,Jane,cost,EHR Insider,https://ehrinsider.com/reviews/jane-app/,,"""at $54-139/month, it's expensive for what is essentially scheduling with clinical add-ons. If you don't need charting or insurance billing, a more affordable scheduling platform will serve you better.""",negative,"Reviewer prescribing the exact segment Roomwell should target: solos who don't need insurance billing and won't pay clinical-grade prices for scheduling"
2026-05-11,Noterro,advice-seeking,Capterra,https://www.capterra.com/p/164994/SOAP-Vault/reviews/,,"""best decision"" ... ""affordable, durable, compatible, and extremely useful product that makes the hard job of sole proprietorship much easier""",positive,"Solo private-practice startup — Noterro keeps winning the new-solo segment. Last week's pattern reinforced"
2026-05-11,Noterro,cost,Capterra,https://www.capterra.com/p/164994/SOAP-Vault/reviews/,,"""cost was far too high while trying to start a business and didn't like that essential features would require them to increase their subscription""",negative,"First Noterro cost complaint we've captured — tier upgrades feel essential rather than optional to some solos. Noterro is not immune to the SaaS upgrade-creep complaint"
2026-05-11,Noterro,complexity,Capterra,https://www.capterra.com/p/164994/SOAP-Vault/reviews/,,"""support says they will work on issues but never do, though they are pleasant and quick to reply""",mixed,"Mixed signal on Noterro support — fast/friendly but follow-through is the issue. Worth tracking — last week support was uniformly positive"
2026-05-11,ClinicSense,complexity,Capterra,https://www.capterra.com/p/178722/ClinicSense/reviews/,,"""I currently download an icon of the desktop version to my phone for a shortcut to the calendar instead because the phone app just feels choppy and is annoying to navigate.""",negative,"Follow-up to prior week's ClinicSense URL — mobile-app workaround. Sharp wedge for any competitor with a strong native mobile experience"
2026-05-11,ClinicSense,complexity,Capterra,https://www.capterra.com/p/178722/ClinicSense/reviews/,,"""Customer service for me has taken a huge dive""",negative,"Follow-up to prior URL — first negative ClinicSense support signal we've captured. Last week's pattern was uniformly positive on support"
2026-05-11,ClinicSense,complexity,Capterra,https://www.capterra.com/p/178722/ClinicSense/reviews/,,"""The app is usable on the iPad and laptop but definitely not on mobile phone""",negative,"Follow-up to prior URL — corroborates the mobile-app problem with a second reviewer"
2026-05-11,MassageBook,advice-seeking,Capterra,https://www.capterra.com/p/147523/MassageBook/reviews/,,"""I am a solo massage therapist, wife and mother of 2. There's is NO way I could make my business work without the online scheduling, appointment reminders, reporting and SOAP notes. It has let me stick with what I do best- Massage! And the rest I do with MassageBook.""",positive,"The persona-perfect quote — solo LMT mom describes MassageBook as work-life-enabling. The emotional register here ('what I do best — Massage') is exactly Roomwell's Maya persona"
2026-05-11,MassageBook,complexity,Capterra,https://www.capterra.com/p/147523/MassageBook/reviews/,,"""Finally I got an answer no intakes can be sent via app only desktop and they also cannot be viewed btw.""",negative,"Mobile-app feature parity gap — intakes desktop-only. Same pattern as ClinicSense mobile complaints this week"
2026-05-11,Vagaro,cost,Vagaro Support,https://support.vagaro.com/hc/en-us/articles/360000192774-Order-Your-Free-Credit-Card-Reader-and-Discounted-Hardware,,"""if you cancel your account or deactivate credit card processing within 12 months of ordering the card reader, you will be charged the price of the reader""",negative,"Official Vagaro policy that explains the recurring $140 'free card reader' clawback complaints — confirms the structure behind last week's user-side gripes about Vagaro cancellation fees"
2026-05-11,Square Appointments,cost,Square Community,https://community.squareup.com/t5/Payments-Troubleshooting/Appointments-pricing-calendar-sync-should-be-free/m-p/631595,,"""calendar sync would cost $40 per month as part of the Plus plan—a significant expense for solo operators who only need this specific feature""",negative,"Separate Square community thread (different URL than last week's) — same calendar-sync-paywall complaint surfacing in a second forum location. Pattern is consistent"
