date_found,platform_discussed,theme,source,source_url,post_date,verbatim_quote,sentiment,notes
2026-05-04,Jane,cost,Schedulingkit,https://www.schedulingkit.com/reviews/jane-app-review,,"""expensive for solo practitioners just starting out""",mixed,"Jane praised for clinical depth but priced out of solo-LMT-only-needs-scheduling segment ($54-$99/mo)"
2026-05-04,Jane,switching,MassageBook,https://pro.massagebook.com/alternatives/janeapp,,"""many of Jane's features are unnecessary for massage therapists""",mixed,"Common Jane critique: built for clinical/multi-disciplinary, has features (telehealth, insurance) solo LMTs don't need but pay for"
2026-05-04,Noterro,advice-seeking,Software Suggest,https://www.softwaresuggest.com/compare/noterro-vs-jane-app,,"""so much more user-friendly and intuitive""",positive,"vs Jane App; Noterro priced lower (~$33/mo entry vs Jane $54+); recommended for solo SOAP-focused LMTs"
2026-05-04,Noterro,advice-seeking,Noterro,https://www.noterro.com/compare/noterro-vs-jane,,"""efficiency and ease"" that allows therapists to ""devote more time with and on clientele instead of paperwork""",positive,"Vendor page but verbatim user quote; signals SOAP/charting + simplicity is the wedge"
2026-05-04,MassageBook,cost,Trustpilot,https://www.trustpilot.com/review/massagebook.com,,"""Massagebook cost me thousands of dollars and wasted so much time""",negative,"Strong negative — magnitude unclear; platform stickiness + integration costs likely contributing"
2026-05-04,MassageBook,complexity,Trustpilot,https://www.trustpilot.com/review/massagebook.com,,"""the tap to pay features don't work and i have to run the card manually which cost me more money""",negative,"Tech reliability complaint with direct $$ cost — payments are a frequent friction point"
2026-05-04,MassageBook,switching,Trustpilot,https://www.trustpilot.com/review/massagebook.com,2025-11,"""dropped booking significantly""",negative,"Nov 2025 update requiring clients to create accounts to see availability — friction breaking the booking funnel"
2026-05-04,MassageBook,cost,Trustpilot,https://www.trustpilot.com/review/massagebook.com,,"""their gift certificate program is a scam""",negative,"Strong wording; gift cert friction + revenue capture concern"
2026-05-04,GlossGenius,cost,Capterra,https://www.capterra.com/p/174830/GlossGenius/reviews/,,"""I don't necessarily like that I have to pay for gold to get a SOAP note format; I feel the app is set up more ideally for cosmetology than for massage, unless you pay more""",mixed,"Solo LMT specifically; SOAP behind paywall feels misaligned with massage workflow — same complaint pattern as Vagaro"
2026-05-04,ClinicSense,advice-seeking,Capterra,https://www.capterra.com/p/178722/ClinicSense/reviews/,,"""ClinicSense gives me a space to do everything I need, from a seamless intake process, to thorough client notes, to easy billing and gift certificate sales""",positive,"Solo LMT review — ""everything I need"" is positioning gold for the all-in-one solo segment"
2026-05-04,ClinicSense,advice-seeking,Capterra,https://www.capterra.com/p/178722/ClinicSense/reviews/,,"""the value for money is just right since I only have a few clients right now. I've had excellent customer support""",positive,"New sole proprietor; ClinicSense's pricing/support tier wins for low-volume solos starting out"
2026-05-04,Schedulicity,complexity,PissedConsumer,https://www.pissedconsumer.com/schedulicity/RT-F.html,,"""customers unable to book through Schedulicity and having to call the salon instead""",negative,"Booking flow friction — clients abandoning. 3.1-star aggregate"
2026-05-04,Schedulicity,complexity,PissedConsumer,https://www.pissedconsumer.com/schedulicity/RT-F.html,,"""app redesign making booking harder and PIN/code prompts blocking clients""",negative,"Recent redesign cited as breaking client side; tied to declining confidence in the platform"
